DirectorName - unedited,First_Name,Last_Name
Doctor Laurie Alsup,Laurie,Alsup
John Chen,John,Chen
Mike Daniels,Mike,Daniels
Tim Dattels,Tim,Dattels
Vivian Watsa,Vivian,Watsa
Wayne Wouters,Wayne,Wouters
Brian Edgar,Brian,Edgar
John Craig,John,Craig
John Festival,John,Festival
Keith Hill,Keith,Hill
Vic Luhowy,Vic,Luhowy
Al Mawani,Al,Mawani
Andrea Stephen,Andrea,Stephen
Art Havener Jr,Art,Havener
Doctor Jim Dewald,Jim,Dewald
Gary Goodman,Gary,Goodman
Sam Kolias,Sam,Kolias
Samantha Kolias-Gunn,Samantha,Kolias-Gunn
Alain Bellemare,Alain,Bellemare
Carlos Represas de Almedia,Carlos,Represas de Almedia
Doctor Daniel Johnson Jr,Daniel,Johnson
Doctor Vikram Pandit,Vikram,Pandit
J Bombardier,J,Bombardier
Jean-Claude Monty,Jean-Claude,Monty
Jean-Louis Fontaine,Jean-Louis,Fontaine
Joanne Bissonnette,Joanne,Bissonnette
Laurent Beaudoin,Laurent,Beaudoin
Martha Brooks,Martha,Brooks
Patrick Pichette,Patrick,Pichette
Pierre Beaudoin,Pierre,Beaudoin
Sheila Fraser,Sheila,Fraser
Bob Phillips,Bob,Phillips
Chris Slubicki,Chris,Slubicki
Ian Brown,Ian,Brown
Jason Skehar,Jason,Skehar
Keith MacPhail,Keith,MacPhail
Margaret McKenzie,Margaret,McKenzie
Mike Kanovsky,Mike,Kanovsky
Ron Poelzer,Ron,Poelzer
Sue Lee,Sue,Lee
Carl Jonsson,Carl,Jonsson
Gary Drummond,Gary,Drummond
George Fink,George,Fink
Randy Jarock,Randy,Jarock
Rodger Tourigny,Rodger,Tourigny
Alain Ducharme,Alain,Ducharme
Alain Rhéaume,Alain,Rhéaume
Ed Kernaghan,Ed,Kernaghan
Germain Benoit,Germain,Benoit
Michelle Samson-Doel,Michelle,Samson-Doel
Patrick Lemaire,Patrick,Lemaire
Pierre Seccareccia,Pierre,Seccareccia
Richard Lemaire,Richard,Lemaire
Robert Hall,Robert,Hall
Yves Rheault,Yves,Rheault
Shou Cailiang,Shou,Cailiang
Liu Manhong,Liu,Manhong
Francis Leong,Francis,Leong
Fang Lixin,Fang,Lixin
Ren Shu,Ren,Shu
Tang Wei,Tang,Wei
John (Jack) Duffy,John,Duffy
Fang Linxin,Fang,Linxin
Tan Wei,Tan,Wei
Don Caron,Don,Caron
Brian Campbell,Brian,Campbell
Eric Sauze,Eric,Sauze
Albert Sharp,Albert,Sharp
David Shaw,David,Shaw
Ed Kernaghan,Ed,Kernaghan
George Croft,George,Croft
John Bowey,John,Bowey
Peter Anderson,Peter,Anderson
Peter Schwartz,Peter,Schwartz
Stan Dunford,Stan,Dunford
Angela Braly,Angela,Braly
Bob Harding,Bob,Harding
David Kerr,David,Kerr
Diana Taylor,Diana,Taylor
Doctor Ngee Seek,Ngee,Seek
Doctor Vera Kempston Darkes,Vera,Kempston Darkes
Jack Cockwell,Jack,Cockwell
James Flatt,James,Flatt
Jeff Blidner,Jeff,Blidner
Lord O'Donnell,Lord,O'Donnell
Marcel Coutu,Marcel,Coutu
Mary Allan,Mary,Allan
Phil Lind,Phil,Lind
The Hon. Frank McKenna,Frank,McKenna
Will Taylor,Will,Taylor
Youssef Nasr,Youssef,Nasr
Colum Bastable,Colum,Bastable
Doctor Rod Fraser,Rod,Fraser
G Brown,G,Brown
Paul McFarlane,Paul,McFarlane
Sue Riddell Rose,Sue,Riddell Rose
T Sucharda,T,Sucharda
Tom Farley,Tom,Farley
Lorraine Bell,Lorraine,Bell
Simon Dean,Simon,Dean
Gail Kilgour,Gail,Kilgour
Trevor J. Eyton,Trevor,Eyton
Spencer Enright,Spencer,Enright
Jeffrey Blidner,Jeffrey,Blidner
Eleazar de Carvalho Filho,Eleazar,de Carvalho Filho 
John Van Egmond,John,Van Egmond
Lars Josefsson,Lars,Josefsson
David Mann,David,Mann
Lou Maroun,Lou,Maroun
Patricia Zuccotti,Patricia,Zuccotti
Allan Stewart,Allan,Stewart
Dmitry Udras,Dmitry,Udras
Doctor Ossama AbouZeid,Ossama,AbouZeid
Grant Adolph,Grant,Adolph
John Buhler,John,Buhler
Konstantin Babkin,Konstantin,Babkin
Oleg Gorbunov,Oleg,Gorbunov
Yury Ryazanov,Yury,Ryazanov
Alan MacGibbon,Alan,MacGibbon
Brian Barents,Brian,Barents
Doctor Andy Stevens,Andy,Stevens
Peter Schoomaker,Peter,Schoomaker
Jim Hankinson,Jim,Hankinson
Kate Stevenson,Kate,Stevenson
Marc Parent,Marc,Parent
Paul Gagné,Paul,Gagné
Peg Billson,Peg,Billson
The Hon. John Manley,John,Manley
The Hon. Michael Fortier,Michael,Fortier
Victor Dodig,Victor,Dodig
Ambassador Gordon Giffin,Gordon,Giffin
Barry Zubrow,Barry,Zubrow
Brent Belzberg,Brent,Belzberg
Christine Larsen,Christine,Larsen
Gary Colter,Gary,Colter
Jane Peverett,Jane,Peverett
Kate Stevenson,Kate,Stevenson
Kevin Kelly,Kevin,Kelly
Linda Hasenfratz,Linda,Hasenfratz
Luc Desjardins,Luc,Desjardins
Martine Turcotte,Martine,Turcotte
Nanci Caldwell,Nanci,Caldwell
Nick Le Pan,Nick,Le Pan
Pat Daniel,Pat,Daniel
Ron Tysoe,Ron,Tysoe
The Hon. John Manley,John,Manley
E Harrison,E,Harrison
Keith Creel,Keith,Creel
Andrew Reardon,Andrew,Reardon
Isabelle Courville,Isabelle,Courville
Matt Paull,Matt,Paull
Rebecca MacDonald,Rebecca,MacDonald
The Hon. John Baird,John,Baird
Chris Fowler,Chris,Fowler
Alan Rowe,Alan,Rowe
Albrecht Bellstedt,Albrecht,Bellstedt
Andrew Bibby,Andrew,Bibby
Bob Phillips,Bob,Phillips
Ian Reid,Ian,Reid
Linda Hohol,Linda,Hohol
Ray Protti,Ray,Protti
Robert Manning,Robert,Manning
Sandy Riley,Sandy,Riley
Sarah Morgan-Silvester,Sarah,Morgan-Silvester
Alan Taylor,Alan,Taylor
Dave Nickerson,Dave,Nickerson
John Kearney,John,Kearney
Malcolm Swallow,Malcolm,Swallow
Paul J. Block,Paul,Block
Vincent J. Galifi,Vincent,Galifi
Edward E. Guillet,Edward,Guillet
Alan D. Horn,Alan,Horn
Kathleen L. Keller-Hobson,Kathleen,Keller-Hobson
Douglas W. Muzyka,Douglas,Muzyka
Thomas C. Peddie,Thomas,Peddie
Mandy Shapansky,Mandy,Shapansky
Donald G. Lang,Donald,Lang
Erin M. Lang,Erin,Lang
Stuart W. Lang,Stuart,Lang
Geoffrey T. Martin,Geoffrey,Martin
Alain Bouchard,Alain,Bouchard
Bernard Bourigeaud,Bernard,Bourigeaud
Jean Brassard,Jean,Brassard
Dominic D’Alessandro,Dominic,D’Alessandro
Paule Doré,Paule,Doré
Julie Godin,Julie,Godin
Serge Godin,Serge,Godin
André Imbeau,André,Imbeau
Gilles Labbé,Gilles,Labbé
Heather Munroe-Blum,Heather,Munroe-Blum
Michael E. Roach,Michael,Roach
Joakim Westh,Joakim,Westh
Dick Evans,Dick,Evans
Olof Westh,Olof,Westh
Tim Hearn,Tim,Hearn
Mark Davis,Mark,Davis
David Gee,David,Gee
Doctor Dave Colcleugh,Dave,Colcleugh
Katherine Rethy,Katherine,Rethy
Lorie Waisberg,Lorie,Waisberg
Lucio Di Clemente,Lucio,Di Clemente
Susan McArthur,Susan,McArthur
John Morrison,John,Morrison
Chris Clark,Chris,Clark
Dan Sullivan,Dan,Sullivan
Galen Weston Jr,Galen,Weston
Graeme Eadie,Graeme,Eadie
Kerry Adams,Kerry,Adams
Michael Kitt,Michael,Kitt
Michelle Felman,Michelle,Felman
Paul Weiss,Paul,Weiss
A Oughtred,A,Oughtred
Bill Holland,Bill,Holland
David Miller,David,Miller
David Riddle,David,Riddle
H Horner,H,Horner
Paul Derksen Sr,Paul,Derksen
Ron Besse,Ron,Besse
Sonia Baxendale,Sonia,Baxendale
Stephen Moore,Stephen,Moore
Tom Muir,Tom,Muir
Derek Feng,Derek,Feng
Doctor David Hsu,David,Hsu
Doctor Tony David,Tony,David
Shane Weir,Shane,Weir
Toby Chu,Toby,Chu
Troy Rice,Troy,Rice
Louis Audet,Louis,Audet
Claude Garcia,Claude,Garcia
David McAusland,David,McAusland
Elisabetta Bigsby,Elisabetta,Bigsby
Jan Peeters,Jan,Peeters
Jim Cherry,Jim,Cherry
Mary-Ann Bell,Mary-Ann,Bell
Normand Legault,Normand,Legault
Pierre Comtois,Pierre,Comtois
Fred Sutherland,Fred,Sutherland
Jack Curtin Jr,Jack,Curtin
Jay Hennick,Jay,Hennick
Katherine Lee,Katherine,Lee
Mike Harris,Mike,Harris
Peter Cohen,Peter,Cohen
Professor David Beatty,David,Beatty
The Rt. Hon. Dr Stephen Harper,Stephen,Harper
Alain Dallaire,Alain,Dallaire
Michel Dallaire,Michel,Dallaire
Alban D'Amours,Alban,D'Amours
Ghislaine Laberge,Ghislaine,Laberge
Johanne Lépine,Johanne,Lépine
Mary-Ann Bell,Mary-Ann,Bell
Michel Théroux,Michel,Théroux
Jim O'Rourke,Jim,O'Rourke
Rod Shier,Rod,Shier
Al Cloke,Al,Cloke
Bruce Aunger,Bruce,Aunger
Carl Renzoni,Carl,Renzoni
John Tapics,John,Tapics
Marin Katusa,Marin,Katusa
Diane Fulton,Diane,Fulton
Douglas Pearce,Douglas,Pearce
Robert Pearce,Robert,Pearce
Nicholas Peters,Nicholas,Peters
David Rowntree,David,Rowntree
Scott Scheirman,Scott,Scheirman
Bradley Seaman,Bradley,Seaman
Silvio Tavares,Silvio,Tavares
Steven Montross,Steven,Montross
Doctor David Johnson,David,Johnson
Doctor Tony Holler,Tony,Holler
Edward Wright,Edward,Wright
Ian Webb,Ian,Webb
Todd Patrick,Todd,Patrick
Don Clow,Don,Clow
Frank Sobey,Frank,Sobey
Barbara Palk,Barbara,Palk
Brian Johnson,Brian,Johnson
Doctor Paul Sobey,Paul,Sobey
Elisabeth Stroback,Elisabeth,Stroback
Francois Vimard,Francois,Vimard
John Eby,John,Eby
John Latimer,John,Latimer
Kent Sobey,Kent,Sobey
Mike Knowlton,Mike,Knowlton
Anna Martini,Anna,Martini
Brent Hollister,Brent,Hollister
David Laidley,David,Laidley
Dean McCann,Dean,McCann
John O'Bryan,John,O'Bryan
Ken Silver,Ken,Silver
Stephen Wetmore,Stephen,Wetmore
Robert T. Booth,Robert,Booth
Loraine M. Charlton,Loraine,Charlton
Siegfried W. Kiefer,Siegfried,Kiefer
Nancy C. Southern,Nancy,Southern
Roger J. Urwin,Roger,Urwin
Ed King,Ed,King
John Wallace,John,Wallace
Kathy Welsh,Kathy,Welsh
Paul Daoust,Paul,Daoust
Richard Innes,Richard,Innes
Leigh Alan Wilson,Leigh,Wilson
Steven Curtis,Steven,Curtis
James Johnstone,James,Johnstone
Mark Learmonth,Mark,Learmonth
John Lawson Kelly,John,Kelly
Johan Andries Holtzhausen,Johan,Holtzhausen
John McGloin,John,McGloin
Doug Ramsay,Doug,Ramsay
Greg Fletcher,Greg,Fletcher
J Aguilar,J,Aguilar
James Blair,James,Blair
Kevin Baker,Kevin,Baker
Lorne Gartner,Lorne,Gartner
Ron Mathison,Ron,Mathison
Doctor George Weber,George,Weber
Jo-Anne Poirier,Jo-Anne,Poirier
Ken Loeb,Ken,Loeb
Kevin Ford,Kevin,Ford
Ray Basler,Ray,Basler
Rich Vickers,Rich,Vickers
Senator David Tkachuk,David,Tkachuk
Newton Glassman,Newton,Glassman
Jim Riley,Jim,Riley
Tibor Donath,Tibor,Donath
David E. Sutin,David,Sutin
Bradley W. Ashley,Bradley,Ashley
Ann Davis,Ann,Davis
A McMillan,A,McMillan
Catherine Gignac,Catherine,Gignac
Doctor Daniel Camus,Daniel,Camus
Don Deranger,Don,Deranger
Ian Bruce,Ian,Bruce
Jim Gowans,Jim,Gowans
John Clappison,John,Clappison
The Hon. A McLellan,A,McLellan
Tim Gitzel,Tim,Gitzel
Amar Doman,Amar,Doman
Ian Baskerville,Ian,Baskerville
Kelvin Dushnisky,Kelvin,Dushnisky
Marc Séguin,Marc,Séguin
Sam Fleiser,Sam,Fleiser
Siegfried Thoma,Siegfried,Thoma
Steve Marshall,Steve,Marshall
Tom Donaldson,Tom,Donaldson
Bill Eeuwes,Bill,Eeuwes
Chuck Bralver,Chuck,Bralver
Dan Daviau,Dan,Daviau
David Kassie,David,Kassie
Dennis Miller,Dennis,Miller
Dipesh Shah,Dipesh,Shah
Doctor Massimo Carello,Massimo,Carello
Kalpana Desai,Kalpana,Desai
Mike Harris,Mike,Harris
Terry Lyons,Terry,Lyons
Charles Bralver,Charles,Bralver
Alberto Sosa Schlageter,Alberto,Sosa Schlageter
Doctor Charle Gamba,Charle,Gamba
Doctor David Winter,David,Winter
Francisco Diaz Salazar,Francisco,Diaz Salazar
Greg Elliott,Greg,Elliott
Mike Hibberd,Mike,Hibberd
Oswaldo Cisneros Fajardo,Oswaldo,Cisneros Fajardo
Stuart Hensman,Stuart,Hensman
David Ehrlich,David,Ehrlich
David Sloan,David,Sloan
Doctor Elaine Todres,Elaine,Todres
Harold Burke,Harold,Burke
Michael Stein,Michael,Stein
Paul Harris,Paul,Harris
Stanley Swartzman,Stanley,Swartzman
Ted Hawken,Ted,Hawken
Tom Schwartz,Tom,Schwartz
Burt Ahrens,Burt,Ahrens
Colin Boyer,Colin,Boyer
Jason West,Jason,West
John Hooks,John,Hooks
Kyle Kitagawa,Kyle,Kitagawa
Mike Stewart,Mike,Stewart
Phil Scherman,Phil,Scherman
Rod Carpenter,Rod,Carpenter
Tom Simons,Tom,Simons
A Lally,A,Lally
James Billett Jr,James,Billett
Jonathan Morgan,Jonathan,Morgan
Michael Smedley,Michael,Smedley
R Raymond,R,Raymond
Richard Whittall,Richard,Whittall
Vanessa Morgan,Vanessa,Morgan
Ambassador Gordon Giffin,Gordon,Giffin
Bob Phillips,Bob,Phillips
Doctor Vera Kempston Darkes,Vera,Kempston Darkes
Don Carty Jr,Don,Carty
Ede Holiday,Ede,Holiday
Jim O'Connor,Jim,O'Connor
Laura Stein,Laura,Stein
Robert Pace,Robert,Pace
The Hon. Denis Losier,Denis,Losier
The Hon. Doctor Kevin Lynch,Kevin,Lynch
Catherine M. Best,Catherine,Best
N. Murray Edwards,N.,Edwards
Timothy W. Faithfull,Timothy,Faithfull
Gary A. Filmon,Gary,Filmon
Christopher L. Fong,Christopher,Fong
Gordon D. Giffin,Gordon,Giffin
Wilfred A. Gobert,Wilfred,Gobert
Steve W. Laut,Steve,Laut
Frank J. McKenna,Frank,McKenna
David A. Tuer,David,Tuer
Annette M. Verschuren,Annette,Verschuren
Bill Fatt,Bill,Fatt
Jane Peverett,Jane,Peverett
Jill Denham,Jill,Denham
Anthony Fell,Anthony,Fell
Deb Barrett,Deb,Barrett
John Brough,John,Brough
Steve Johnson,Steve,Johnson
W Mackay,W,Mackay
Gar Emerson,Gar,Emerson
George Vallance,George,Vallance
Michael Medline,Michael,Medline
Ronald Goldsberry,Ronald,Goldsberry
Stephen Wetmore,Stephen,Wetmore
Anatol von Hahn,Anatol,von Hahn
Claude L'Heureux,Claude,L'Heureux
David Court,David,Court
Diana Chant,Diana,Chant
Doctor Martha Billes,Martha,Billes
Doctor Pierre Boivin,Pierre,Boivin
Jim Goodfellow,Jim,Goodfellow
John Furlong,John,Furlong
Maureen Sabia,Maureen,Sabia
Owen Billes,Owen,Billes
Tim Price,Tim,Price
Matthias F. Bichsel,Matthias,Bichsel
Loraine M. Charlton,Loraine,Charlton
Robert B. Francis,Robert,Francis
Robert J. Normand,Robert,Normand
Hector A. Rangel,Hector,Rangel
Laura A. Reed,Laura,Reed
William G. Sembo,William,Sembo
James W. Simpson,James,Simpson
Nancy C. Southern,Nancy,Southern
Linda A. Southern-Heathcott,Linda,Southern-Heathcott
Karen M. Watson,Karen,Watson
Charles W. Wilson,Charles,Wilson
Ronald D Southern,Ronald,Southern
Anne-Marie Dutil Blatchford,Anne-Marie,Dutil Blatchford
Chantal Petitclerc,Chantal,Petitclerc
Doctor Jean-Marie Toulouse,Jean-Marie,Toulouse
Marc Dutil,Marc,Dutil
Marcel Dutil,Marcel,Dutil
Pierre Lortie,Pierre,Lortie
Pierre Marcouiller,Pierre,Marcouiller
Pierre Thabet,Pierre,Thabet
Sean Finn,Sean,Finn
Élaine Beaudoin,Élaine,Beaudoin
Brad Cooke,Brad,Cooke
Doctor Deepak Malhotra,Deepak,Malhotra
Len Harris,Len,Harris
Martin Burian,Martin,Burian
Andrés Milla Comitre,Andrés,Milla Comitre
Doctor Federico Oviedo Vidal,Federico,Oviedo Vidal
George Elliott,George,Elliott
Joey Freeze,Joey,Freeze
John Black,John,Black
Mike Thicke,Mike,Thicke
Paul Barry,Paul,Barry
Sean Waller,Sean,Waller
David Collyer,David,Collyer
Stephanie Felesky,Stephanie,Felesky
Douglas Hayhurst,Douglas,Hayhurst
Arthur Korpach,Arthur,Korpach
William McAdam,William,McAdam
Richard Ott,Richard,Ott
Douglas Wonnacott,Douglas,Wonnacott
Hugh Fergusson,Hugh,Fergusson
Peter J.G. Bentley,Peter,Bentley
Glen D. Clark,Glen,Clark
Michael J. Korenberg,Michael,Korenberg
Conrad A. Pinette,Conrad,Pinette
J. McNeill (Mack) Singleton,J.,Singleton
Ross S. Smith,Ross,Smith
William W. Stinson,William,Stinson
The Hon. John Baird,John,Baird
James A. Pattison,James,Pattison
Conrad Pinette,Conrad,Pinette
Doctor Charles Jago,Charles,Jago
Michael Korenberg,Michael,Korenberg
Peter Bentley,Peter,Bentley
Stan Bracken-Horrocks,Stan,Bracken-Horrocks
The Hon. John Baird,John,Baird
William Stinson,William,Stinson
Bill Bullis,Bill,Bullis
Charles Allen,Charles,Allen
Doug Brownridge,Doug,Brownridge
Frank Barker,Frank,Barker
Geoff Barker,Geoff,Barker
Grant Ballantyne,Grant,Ballantyne
Joey St-Aubin,Joey,St-Aubin
Victor D'Souza,Victor,D'Souza
Brad Fedora,Brad,Fedora
Ken Mullen,Ken,Mullen
Michael Ratushny,Michael,Ratushny
Miles Lich,Miles,Lich
Neil MacKenzie,Neil,MacKenzie
Ray Antony,Ray,Antony
Albrecht Bellstedt,Albrecht,Bellstedt
Brian Vaasjo,Brian,Vaasjo
Don Lowry,Don,Lowry
Doyle Beneby Jr,Doyle,Beneby
Jill Gardiner,Jill,Gardiner
Kelly Huntington,Kelly,Huntington
Pat Daniel,Pat,Daniel
Phil Lachambre,Phil,Lachambre
Janet Woodruff,Janet,Woodruff
Michael Smerdon,Michael,Smerdon
Richard Knowles,Richard,Knowles
Alex Kwon,Alex,Kwon
Dale Peniuk,Dale,Peniuk
Darren Pylot,Darren,Pylot
George Brack,George,Brack
Kalidas Madhavpeddi,Kalidas,Madhavpeddi
Larry Bell,Larry,Bell
Rick Zimmer,Rick,Zimmer
William D. Gregson,William,Gregson
Stephen K. Gunn,Stephen,Gunn
Christopher D. Hodgson,Christopher,Hodgson
Michael J. Norris,Michael,Norris
John A. Rothschild,John,Rothschild
Sean Regan,Sean,Regan
Dave Johnson,Dave,Johnson
Greg Tisdale,Greg,Tisdale
Jim Smith,Jim,Smith
John Brussa,John,Brussa
Michael Ratushny,Michael,Ratushny
Mark H. Corrigan,Mark,Corrigan
Richard M. Glickman,Richard,Glickman
William L. Hunter,William,Hunter
Robert J. Meyer,Robert,Meyer
W. James O’Shea,W.,O’Shea
James O'Shea,James,O'Shea
Harold Shlevin,Harold,Shlevin
Arthur Wilms,Arthur,Wilms
Doctor Ajay Virmani,Ajay,Virmani
Jamie Porteous,Jamie,Porteous
Jim Crane,Jim,Crane
John Webster,John,Webster
Paul Godfrey,Paul,Godfrey
J. Bryan Bothwell,J.,Bothwell
Sheree L. Ebanks,Sheree,Ebanks
Woodrow S. Foster,Woodrow,Foster
J.F. Richard Hew,J.F.,Hew
Earl A. Ludlow,Earl,Ludlow
Eddinton M. Powell,Eddinton,Powell
David E. Ritch,David,Ritch
Peter A. Thomson,Peter,Thomson
Lynn R. Young,Lynn,Young
Gary J. Smith,Gary,Smith
Joseph A. Imparato,Joseph,Imparato
Frederick O’Brie,Frederick,O’Brie
Jim Meekison,Jim,Meekison
John Simmons,John,Simmons
Michael Sonnenfeldt,Michael,Sonnenfeldt
Sara Elford,Sara,Elford
Terry Holland,Terry,Holland
Alain Lemaire,Alain,Lemaire
Louis Garneau,Louis,Garneau
Sylvie Lemaire,Sylvie,Lemaire
David McAusland,David,McAusland
Georges Kobrynsky,Georges,Kobrynsky
Élise Pelletier,Élise,Pelletier
Sylvie Vachon,Sylvie,Vachon
Laurence G. Sellyn,Laurence,Sellyn
Mario Plourde,Mario,Plourde
Michelle Cormier,Michelle,Cormier
Martin Couture,Martin,Couture
Patrick Lemaire,Patrick,Lemaire
Laurent Lemaire,Laurent,Lemaire
John Brecker,John,Brecker
Todd Dillabough,Todd,Dillabough
Walter jones,Walter,jones
Les Lederer,Les,Lederer
Jill Leversage,Jill,Leversage
Pierre Raymond,Pierre,Raymond
Dale Tremblay,Dale,Tremblay
Ian Brown,Ian,Brown
Jay Zammit,Jay,Zammit
P MacFarlane,P,MacFarlane
Randy Pustanyk,Randy,Pustanyk
Rod Maxwell,Rod,Maxwell
Scott Sarjeant,Scott,Sarjeant
Bill Etherington,Bill,Etherington
Carol Perry,Carol,Perry
Dan DiMaggio,Dan,DiMaggio
Eamon Ryan,Eamon,Ryan
Joe Natale,Joe,Natale
Laurette Koellner,Laurette,Koellner
Mike Wilson,Mike,Wilson
Rob Mionis,Rob,Mionis
Brian Ferguson,Brian,Ferguson
Charlie Rampacek,Charlie,Rampacek
Claude Mongeau,Claude,Mongeau
Colin Taylor,Colin,Taylor
Ian Delaney,Ian,Delaney
Michael Grandin,Michael,Grandin
Pat Daniel,Pat,Daniel
Steve Leer,Steve,Leer
Valerie Nielsen,Valerie,Nielsen
Wayne Thomson,Wayne,Thomson
Bektur Sagynov,Bektur,Sagynov
Doctor Bruce Walter,Bruce,Walter
Eduard Kubatov,Eduard,Kubatov
Mike Parrett,Mike,Parrett
Raphael Girard,Raphael,Girard
Rick Connor,Rick,Connor
Scott Perry,Scott,Perry
Sheryl Pressler,Sheryl,Pressler
Steve Lang,Steve,Lang
Terry Rogers,Terry,Rogers
A Ganderton,A,Ganderton
Darren Youngleson,Darren,Youngleson
David Cutler,David,Cutler
Doctor Jack Shevel,Jack,Shevel
Doctor Robert Hollinshead,Robert,Hollinshead
Ingrid Davis,Ingrid,Davis
Yazdi Bharucha,Yazdi,Bharucha
Sandy Chim,Sandy,Chim
Ben Koon (David) Wong,Ben,Wong
Hua Bai,Hua,Bai
Kit Ying (Karen) Lee,Kit,Lee
Howard Bernier,Howard,Bernier
Jiong Hui Wang,Jiong,Wang
Wei Ke Peng,Wei,Peng
Xin Ting (Tony) Wang,Xin,Wang
Brian Felesky,Brian,Felesky
Daryl Gilbert,Daryl,Gilbert
Don Archibald,Don,Archibald
Francesco Mele,Francesco,Mele
Howard Crone,Howard,Crone
Peter Bannister,Peter,Bannister
Todd Brown,Todd,Brown
Harvey Joel,Harvey,Joel
Gary mize,Gary,mize
Douglas Speers,Douglas,Speers
James Vanasek,James,Vanasek
Harold Wolkin,Harold,Wolkin
Joseph Monroe,Joseph,Monroe
Pat Bracken,Pat,Bracken
Angela Lekatsas,Angela,Lekatsas
Don Bell,Don,Bell
Graham Drake,Graham,Drake
Larry Benke,Larry,Benke
Peter Lacey,Peter,Lacey
Steven Collicutt,Steven,Collicutt
Michael O’Keeffe,Michael,O’Keeffe
Gary Lawler,Gary,Lawler
Andrew J. Love,Andrew,Love
Paul Ankcorn,Paul,Ankcorn
Michelle Cormier,Michelle,Cormier
André Kuzmicki,André,Kuzmicki
Doctor Sharon Sallows,Sharon,Sallows
John Thomas,John,Thomas
Lise Bastarache,Lise,Bastarache
Mike Harris,Mike,Harris
Sidney Robinson,Sidney,Robinson
Tom Schwartz,Tom,Schwartz
W Binions,W,Binions
Barry Shafran,Barry,Shafran
Clare Copeland,Clare,Copeland
Daniel Wittlin,Daniel,Wittlin
David Obront,David,Obront
Fred Steiner,Fred,Steiner
Rob Day,Rob,Day
Sam Leeper,Sam,Leeper
Bing Liu,Bing,Liu
Doctor Xin Song,Xin,Song
Greg Hall,Greg,Hall
John Burns,John,Burns
Liangyou Jiang,Liangyou,Jiang
Lianzhong Sun,Lianzhong,Sun
Xiangdong Jiang,Xiangdong,Jiang
YB He,YB,He
Yunfei Chen,Yunfei,Chen
Bob Herdman,Bob,Herdman
Bob Iverach,Bob,Iverach
Don Archibald,Don,Archibald
Jill Angevine,Jill,Angevine
Matt Brister,Matt,Brister
P Wierzba,P,Wierzba
Stuart Clark,Stuart,Clark
Dick Falconer,Dick,Falconer
G MacCormack,G,MacCormack
Gary Collins,Gary,Collins
Joe Randell,Joe,Randell
Karen Cramm,Karen,Cramm
Marie-Lucie Morin,Marie-Lucie,Morin
Richard McCoy,Richard,McCoy
Steve Hannahs,Steve,Hannahs
Sydney Isaacs,Sydney,Isaacs
Anthony Munk,Anthony,Munk
Bob Steacy,Bob,Steacy
Ed Sonshine,Ed,Sonshine
Ellis Jacob,Ellis,Jacob
Ian Greenberg,Ian,Greenberg
Joan Dea,Joan,Dea
Jordan Banks,Jordan,Banks
Rob Bruce,Rob,Bruce
Sabi Marwah,Sabi,Marwah
Doctor John Mull,John,Mull
Doctor Stefan Aigner,Stefan,Aigner
Stephen Wiseman,Stephen,Wiseman
Tom Wellner,Tom,Wellner
Doctor Lionel Schipper,Lionel,Schipper
G Krediet,G,Krediet
Gerald Heffernan,Gerald,Heffernan
Issy Sharp,Issy,Sharp
Jeff Parr,Jeff,Parr
Joe Heffernan,Joe,Heffernan
John Barnett,John,Barnett
Ken Rotman,Ken,Rotman
Michael Bregman,Michael,Bregman
Rick Watkin,Rick,Watkin
Sydney Cooper,Sydney,Cooper
Joseph Heffernan,Joseph,Heffernan
Blair Cook,Blair,Cook
Brian Luborsky,Brian,Luborsky
Charles Pellerin,Charles,Pellerin
George Armoyan,George,Armoyan
Michael Rapps,Michael,Rapps
Georges Armoyan,Georges,Armoyan
Brendan Paddick,Brendan,Paddick
Colin MacDonald,Colin,MacDonald
Harold Giles,Harold,Giles
Jane Craighead,Jane,Craighead
Jim Dickson,Jim,Dickson
John Risley,John,Risley
Larry Hood,Larry,Hood
Mickey MacDonald,Mickey,MacDonald
Stan Spavold,Stan,Spavold
Don Altman,Don,Altman
Phil Baudin,Phil,Baudin
Denis Bourdeau,Denis,Bourdeau
Daniel Burns,Daniel,Burns
Louis-H. Campagna,Louis-H.,Campagna
Johanne Charbonneau,Johanne,Charbonneau
Gilles Colbert,Gilles,Colbert
Roger Harrop,Roger,Harrop
John Harvie,John,Harvie
Geri Kamenz,Geri,Kamenz
Réjean Laflamme,Réjean,Laflamme
Denis Laverdière,Denis,Laverdière
Jim Laverick,Jim,Laverick
Michael Mac Isaac,Michael,Mac Isaac
Emmet McGrath,Emmet,McGrath
Bob Petryk,Bob,Petryk
Collette Robertson,Collette,Robertson
Dave Sitaram,Dave,Sitaram
Jocelyn VanKoughnet,Jocelyn,VanKoughnet
Jack Wilkinson,Jack,Wilkinson
Alexandra Wilson,Alexandra,Wilson
Dave Abel,Dave,Abel
Kathy Bardswick,Kathy,Bardswick
Albert De Boer,Albert,De Boer
Carole Salomon,Carole,Salomon
Claude Garcia,Claude,Garcia
David McAusland,David,McAusland
Jan Peeters,Jan,Peeters
Joanne Ferstman,Joanne,Ferstman
L Gadbois,L,Gadbois
Lib Gibson,Lib,Gibson
Louis Audet,Louis,Audet
Patricia Curadeau-Grou,Patricia,Curadeau-Grou
Elisabetta Bigsby,Elisabetta,Bigsby
