qid,country,category,person_count
Q45670,Kingdom of Portugal,"GreaterEuropean,WestEuropean,Hispanic",5930
Q736,Ecuador,"GreaterEuropean,WestEuropean,Hispanic",5867
Q796,Iraq,"GreaterAfrican,Muslim",5860
Q114,Kenya,"GreaterAfrican,Africans",5389
Q207272,Second Polish Republic,"GreaterEuropean,EastEuropean",5330
Q822,Lebanon,"GreaterAfrican,Muslim",4888
Q43287,German Empire,"GreaterEuropean,WestEuropean,Germanic",4837
Q15102440,"Kingdom of Serbs, Croats and Slovenes","GreaterEuropean,EastEuropean",4753
Q225,Bosnia and Herzegovina,"GreaterEuropean,EastEuropean",4715
Q170072,Dutch Republic,"GreaterEuropean,WestEuropean,Germanic",4505
Q858,Syria,"GreaterAfrican,Muslim",4357
Q854,Sri Lanka,"Asian,IndianSubContinent",4310
Q1041,Senegal,"GreaterAfrican,Africans",4180
Q924,Tanzania,"GreaterAfrican,Africans",4063
Q786,Dominican Republic,"GreaterEuropean,WestEuropean,Hispanic",4018
Q229,Cyprus,DROP,3926
Q62633,Grand Duchy of Finland,"GreaterEuropean,WestEuropean,Nordic",3785
Q115,Ethiopia,"GreaterAfrican,Africans",3625
Q221,North Macedonia,"GreaterEuropean,EastEuropean",3623
Q1008,Ivory Coast,"GreaterAfrican,Africans",3618
Q836,Myanmar,"Asian,GreaterEastAsian,EastAsian",3613
Q219060,Palestine,"GreaterAfrican,Muslim",3610
Q790,Haiti,"GreaterEuropean,WestEuropean,French",3595
Q70972,Kingdom of France,"GreaterEuropean,WestEuropean,French",3537
Q265,Uzbekistan,"GreaterAfrican,Muslim",3483
Q4948,Republic of Venice,"GreaterEuropean,WestEuropean,Italian",3465
Q750,Bolivia,"GreaterEuropean,WestEuropean,Hispanic",3462
Q334,Singapore,"Asian,GreaterEastAsian,EastAsian",3458
Q766,Jamaica,DROP,3406
Q28179,Joseon,"Asian,GreaterEastAsian,EastAsian",3400
Q217,Moldova,"GreaterEuropean,EastEuropean",3354
Q954,Zimbabwe,"GreaterAfrican,Africans",3343
Q733,Paraguay,"GreaterEuropean,WestEuropean,Hispanic",3309
Q800,Costa Rica,"GreaterEuropean,WestEuropean,Hispanic",3222
Q2305208,Russian Socialist Federative Soviet Republic,"GreaterEuropean,EastEuropean",3218
Q1054923,British Hong Kong,"Asian,GreaterEastAsian,EastAsian",3156
Q55,Netherlands,"GreaterEuropean,WestEuropean,Germanic",3150
Q916,Angola,"GreaterAfrican,Africans",2785
Q837,Nepal,"Asian,IndianSubContinent",2780
Q12548,Holy Roman Empire,"GreaterEuropean,WestEuropean,Germanic",2761
Q36704,Yugoslavia,"GreaterEuropean,EastEuropean",2737
Q810,Jordan,"GreaterAfrican,Muslim",2619
Q889,Afghanistan,"GreaterAfrican,Muslim",2584
Q912,Mali,"GreaterAfrican,Africans",2518
Q233,Malta,DROP,2496
Q12544,Byzantine Empire,DROP,2450
Q1029,Mozambique,"GreaterAfrican,Africans",2377
Q963,Botswana,"GreaterAfrican,Africans",2377
Q774,Guatemala,"GreaterEuropean,WestEuropean,Hispanic",2361
Q1006,Guinea,"GreaterAfrican,Africans",2360
Q423,North Korea,"Asian,GreaterEastAsian,EastAsian",2323
Q792,El Salvador,"GreaterEuropean,WestEuropean,Hispanic",2272
Q1049,Sudan,"GreaterAfrican,Muslim",2256
Q962,Benin,"GreaterAfrican,Africans",2185
Q7318,Nazi Germany,"GreaterEuropean,WestEuropean,Germanic",2184
Q804,Panama,"GreaterEuropean,WestEuropean,Hispanic",2161
Q754,Trinidad and Tobago,DROP,2151
Q236,Montenegro,"GreaterEuropean,EastEuropean",2130
Q813,Kyrgyzstan,"GreaterAfrican,Muslim",2126
Q503585,Korea under Japanese rule,"Asian,GreaterEastAsian,EastAsian",2081
Q711,Mongolia,"Asian,GreaterEastAsian,EastAsian",2047
Q965,Burkina Faso,"GreaterAfrican,Africans",2032
Q243610,Ukrainian People's Republic,"GreaterEuropean,EastEuropean",2025
Q817,Kuwait,"GreaterAfrican,Muslim",2002
Q971,Republic of the Congo,"GreaterAfrican,Africans",1999
Q171150,Kingdom of Hungary,"GreaterEuropean,EastEuropean",1973
Q1037,Rwanda,"GreaterAfrican,Africans",1972
Q805,Yemen,"GreaterAfrican,Muslim",1946
Q1072949,Western Han,"Asian,GreaterEastAsian,EastAsian",1936
Q204920,Crown of Aragon,"GreaterEuropean,WestEuropean,Hispanic",1931
Q8646,Hong Kong,"Asian,GreaterEastAsian,EastAsian",1913
Q783,Honduras,"GreaterEuropean,WestEuropean,Hispanic",1881
Q1020,Malawi,"GreaterAfrican,Africans",1880
Q878,United Arab Emirates,"GreaterAfrican,Muslim",1873
Q730,Suriname,DROP,1842
Q953,Zambia,"GreaterAfrican,Africans",1805
Q945,Togo,"GreaterAfrican,Africans",1800
Q2017684,French protectorate of Tunisia,"GreaterAfrican,Muslim",1796
Q1019,Madagascar,"GreaterAfrican,Africans",1756
Q1005,The Gambia,"GreaterAfrican,Africans",1666
Q1000,Gabon,"GreaterAfrican,Africans",1660
Q1030,Namibia,DROP,1593
Q929,Central African Republic,"GreaterAfrican,Africans",1557
Q154195,Kingdom of Bavaria,"GreaterEuropean,WestEuropean,Germanic",1544
Q657,Chad,"GreaterAfrican,Africans",1534
Q238,San Marino,"GreaterEuropean,WestEuropean,Italian",1518
Q170174,Papal States,"GreaterEuropean,WestEuropean,Italian",1510
Q1032,Niger,"GreaterAfrican,Africans",1501
Q958,South Sudan,"GreaterAfrican,Africans",1501
Q811,Nicaragua,"GreaterEuropean,WestEuropean,Hispanic",1499
Q398,Bahrain,"GreaterAfrican,Muslim",1482
Q863,Tajikistan,"GreaterAfrican,Muslim",1420
Q2577303,Kingdom of Sardinia,"GreaterEuropean,WestEuropean,Italian",1417
Q1649871,Kingdom of Poland,"GreaterEuropean,EastEuropean",1381
Q170468,United Arab Republic,"GreaterAfrican,Muslim",1372
