qid,ethnic_group,category,person_count
Q1344183,English Americans,"GreaterEuropean,British",33
Q1065371,Italian Brazilians,"GreaterEuropean,WestEuropean,Italian",33
Q501837,Mizrahi Jews,"GreaterEuropean,Jewish",33
Q115026,Swedish Americans,"GreaterEuropean,WestEuropean,Nordic",32
Q3476361,Scottish Americans,"GreaterEuropean,British",32
Q854323,Punjabis,"Asian,IndianSubContinent",32
Q1369944,French Americans,"GreaterEuropean,WestEuropean,French",30
Q49540,Latvians,"GreaterEuropean,EastEuropean",30
Q188353,Welsh people,"GreaterEuropean,British",28
Q857880,French Canadians,"GreaterEuropean,WestEuropean,French",27
Q1193808,Norwegian Americans,"GreaterEuropean,WestEuropean,Nordic",26
Q1058496,Dutch Americans,"GreaterEuropean,WestEuropean,Germanic",24
Q484206,Persians,"GreaterAfrican,Muslim",22
