qid,country,origin,person_count
Q711,Mongolia,Mongolia,2047
Q965,Burkina Faso,Burkina Faso,2032
Q243610,Ukrainian People's Republic,Ukraine,2025
Q817,Kuwait,Kuwait,2002
Q971,Republic of the Congo,Republic of the Congo,1999
Q171150,Kingdom of Hungary,Hungary,1973
Q1037,Rwanda,Rwanda,1972
Q805,Yemen,Yemen,1946
Q1072949,Western Han,China,1936
Q204920,Crown of Aragon,Spain,1931
Q8646,Hong Kong,Hong Kong,1913
Q783,Honduras,Honduras,1881
Q1020,Malawi,Malawi,1880
Q878,United Arab Emirates,United Arab Emirates,1873
Q730,Suriname,Suriname,1842
Q953,Zambia,Zambia,1805
Q945,Togo,Togo,1800
Q2017684,French protectorate of Tunisia,Tunisia,1796
Q1019,Madagascar,Madagascar,1756
Q1005,The Gambia,The Gambia,1666
Q1000,Gabon,Gabon,1660
Q1030,Namibia,Namibia,1593
Q929,Central African Republic,Central African Republic,1557
Q154195,Kingdom of Bavaria,Germany,1544
Q657,Chad,Chad,1534
Q238,San Marino,San Marino,1518
Q170174,Papal States,Italy,1510
Q1032,Niger,Niger,1501
Q958,South Sudan,South Sudan,1501
Q811,Nicaragua,Nicaragua,1499
Q398,Bahrain,Bahrain,1482
Q863,Tajikistan,Tajikistan,1420
Q2577303,Kingdom of Sardinia,Italy,1417
Q1649871,Kingdom of Poland,Poland,1381
Q170468,United Arab Republic,Egypt,1372
